branch_id,branch_name,area,city,pincode,phone,opening_date
1,Green Trends – T Nagar,T Nagar,Chennai,600017,+91 44 2431 1002,2020-03-24
2,Green Trends – Anna Nagar,Anna Nagar,Chennai,600040,+91 44 2621 1001,2021-05-07
3,Green Trends – Nungambakkam,Nungambakkam,Chennai,600034,+91 44 2827 1010,2021-07-25
4,Green Trends – Adyar,Adyar,Chennai,600020,+91 44 2441 1003,2021-05-18
5,Green Trends – OMR,OMR,Chennai,600119,+91 44 2450 1007,2019-11-27
6,Green Trends – Velachery,Velachery,Chennai,600042,+91 44 2243 1004,2021-08-12
7,Green Trends – Mylapore,Mylapore,Chennai,600004,+91 44 2499 1009,2020-09-24
8,Green Trends – Guindy,Guindy,Chennai,600032,+91 44 2235 1014,2021-04-10
9,Green Trends – Kilpauk,Kilpauk,Chennai,600010,+91 44 2661 1008,2021-12-11
10,Green Trends – Egmore,Egmore,Chennai,600008,+91 44 2819 1015,2021-02-24
11,Green Trends – Perungudi,Perungudi,Chennai,600096,+91 44 2450 1011,2019-12-25
12,Green Trends – Porur,Porur,Chennai,600116,+91 44 2476 1005,2021-08-23
13,Green Trends – Tambaram,Tambaram,Chennai,600045,+91 44 2226 1006,2021-03-18
14,Green Trends – Chromepet,Chromepet,Chennai,600044,+91 44 2242 1013,2019-07-02
15,Green Trends – Pallavaram,Pallavaram,Chennai,600043,+91 44 2264 1012,2020-11-14
